generation	avg_fitness	best_gen_fitness	best_so_far_fitness	hh_contacts	overlaps	mutation_rate
105	9,000000	9,000000	9,000000	9	0	0,036000
106	9,000000	9,000000	9,000000	9	0	0,035867
107	9,000000	9,000000	9,000000	9	0	0,035733
108	9,000000	9,000000	9,000000	9	0	0,035600
109	9,000000	9,000000	9,000000	9	0	0,035467
110	9,000000	9,000000	9,000000	9	0	0,035333
111	9,000000	9,000000	9,000000	9	0	0,035200
112	9,000000	9,000000	9,000000	9	0	0,035067
113	9,000000	9,000000	9,000000	9	0	0,034933
114	9,000000	9,000000	9,000000	9	0	0,034800
115	9,000000	9,000000	9,000000	9	0	0,034667
116	9,000000	9,000000	9,000000	9	0	0,034533
117	9,000000	9,000000	9,000000	9	0	0,034400
118	9,000000	9,000000	9,000000	9	0	0,034267
119	9,000000	9,000000	9,000000	9	0	0,034133
120	9,000000	9,000000	9,000000	9	0	0,034000
121	9,000000	9,000000	9,000000	9	0	0,033867
122	9,000000	9,000000	9,000000	9	0	0,033733
123	9,000000	9,000000	9,000000	9	0	0,033600
124	9,000000	9,000000	9,000000	9	0	0,033467
125	9,000000	9,000000	9,000000	9	0	0,033333
126	9,000000	9,000000	9,000000	9	0	0,033200
127	9,000000	9,000000	9,000000	9	0	0,033067
128	9,000000	9,000000	9,000000	9	0	0,032933
129	9,000000	9,000000	9,000000	9	0	0,032800
130	9,000000	9,000000	9,000000	9	0	0,032667
131	9,000000	9,000000	9,000000	9	0	0,032533
132	9,000000	9,000000	9,000000	9	0	0,032400
133	9,000000	9,000000	9,000000	9	0	0,032267
134	9,000000	9,000000	9,000000	9	0	0,032133
135	9,000000	9,000000	9,000000	9	0	0,032000
136	9,000000	9,000000	9,000000	9	0	0,031867
137	9,000000	9,000000	9,000000	9	0	0,031733
138	9,000000	9,000000	9,000000	9	0	0,031600
139	9,000000	9,000000	9,000000	9	0	0,031467
140	9,000000	9,000000	9,000000	9	0	0,031333
141	9,000000	9,000000	9,000000	9	0	0,031200
142	9,000000	9,000000	9,000000	9	0	0,031067
143	9,000000	9,000000	9,000000	9	0	0,030933
144	9,000000	9,000000	9,000000	9	0	0,030800
145	9,000000	9,000000	9,000000	9	0	0,030667
146	9,000000	9,000000	9,000000	9	0	0,030533
147	9,000000	9,000000	9,000000	9	0	0,030400
148	9,000000	9,000000	9,000000	9	0	0,030267
149	9,000000	9,000000	9,000000	9	0	0,030133
150	9,000000	9,000000	9,000000	9	0	0,030000
151	9,000000	9,000000	9,000000	9	0	0,029867
152	9,000000	9,000000	9,000000	9	0	0,029733
153	9,000000	9,000000	9,000000	9	0	0,029600
154	9,000000	9,000000	9,000000	9	0	0,029467
155	9,000000	9,000000	9,000000	9	0	0,029333
156	9,000000	9,000000	9,000000	9	0	0,029200
157	9,000000	9,000000	9,000000	9	0	0,029067
158	9,000000	9,000000	9,000000	9	0	0,028933
159	9,000000	9,000000	9,000000	9	0	0,028800
160	9,000000	9,000000	9,000000	9	0	0,028667
161	9,000000	9,000000	9,000000	9	0	0,028533
162	9,000000	9,000000	9,000000	9	0	0,028400
163	9,000000	9,000000	9,000000	9	0	0,028267
164	9,000000	9,000000	9,000000	9	0	0,028133
165	9,000000	9,000000	9,000000	9	0	0,028000
166	9,000000	9,000000	9,000000	9	0	0,027867
167	9,000000	9,000000	9,000000	9	0	0,027733
168	9,000000	9,000000	9,000000	9	0	0,027600
169	9,000000	9,000000	9,000000	9	0	0,027467
170	9,000000	9,000000	9,000000	9	0	0,027333
171	9,000000	9,000000	9,000000	9	0	0,027200
172	9,000000	9,000000	9,000000	9	0	0,027067
173	9,000000	9,000000	9,000000	9	0	0,026933
174	9,000000	9,000000	9,000000	9	0	0,026800
175	9,000000	9,000000	9,000000	9	0	0,026667
176	9,000000	9,000000	9,000000	9	0	0,026533
177	9,000000	9,000000	9,000000	9	0	0,026400
178	9,000000	9,000000	9,000000	9	0	0,026267
179	9,000000	9,000000	9,000000	9	0	0,026133
180	9,000000	9,000000	9,000000	9	0	0,026000
181	9,000000	9,000000	9,000000	9	0	0,025867
182	9,000000	9,000000	9,000000	9	0	0,025733
183	9,000000	9,000000	9,000000	9	0	0,025600
184	9,000000	9,000000	9,000000	9	0	0,025467
185	9,000000	9,000000	9,000000	9	0	0,025333
186	9,000000	9,000000	9,000000	9	0	0,025200
187	9,000000	9,000000	9,000000	9	0	0,025067
188	9,000000	9,000000	9,000000	9	0	0,024933
189	9,000000	9,000000	9,000000	9	0	0,024800
190	9,000000	9,000000	9,000000	9	0	0,024667
191	9,000000	9,000000	9,000000	9	0	0,024533
192	9,000000	9,000000	9,000000	9	0	0,024400
193	9,000000	9,000000	9,000000	9	0	0,024267
194	9,000000	9,000000	9,000000	9	0	0,024133
195	9,000000	9,000000	9,000000	9	0	0,024000
196	9,000000	9,000000	9,000000	9	0	0,023867
197	9,000000	9,000000	9,000000	9	0	0,023733
198	9,000000	9,000000	9,000000	9	0	0,023600
199	9,000000	9,000000	9,000000	9	0	0,023467
200	9,000000	9,000000	9,000000	9	0	0,023333
201	9,000000	9,000000	9,000000	9	0	0,023200
202	9,000000	9,000000	9,000000	9	0	0,023067
203	9,000000	9,000000	9,000000	9	0	0,022933
204	9,000000	9,000000	9,000000	9	0	0,022800
205	9,000000	9,000000	9,000000	9	0	0,022667
206	9,000000	9,000000	9,000000	9	0	0,022533
207	9,000000	9,000000	9,000000	9	0	0,022400
208	9,000000	9,000000	9,000000	9	0	0,022267
209	9,000000	9,000000	9,000000	9	0	0,022133
210	9,000000	9,000000	9,000000	9	0	0,022000
211	9,000000	9,000000	9,000000	9	0	0,021867
212	9,000000	9,000000	9,000000	9	0	0,021733
213	9,000000	9,000000	9,000000	9	0	0,021600
214	9,000000	9,000000	9,000000	9	0	0,021467
215	9,000000	9,000000	9,000000	9	0	0,021333
216	9,000000	9,000000	9,000000	9	0	0,021200
217	9,000000	9,000000	9,000000	9	0	0,021067
218	9,000000	9,000000	9,000000	9	0	0,020933
219	9,000000	9,000000	9,000000	9	0	0,020800
220	9,000000	9,000000	9,000000	9	0	0,020667
221	9,000000	9,000000	9,000000	9	0	0,020533
222	9,000000	9,000000	9,000000	9	0	0,020400
223	9,000000	9,000000	9,000000	9	0	0,020267
224	9,000000	9,000000	9,000000	9	0	0,020133
225	9,000000	9,000000	9,000000	9	0	0,020000
226	9,000000	9,000000	9,000000	9	0	0,019867
227	9,000000	9,000000	9,000000	9	0	0,019733
228	9,000000	9,000000	9,000000	9	0	0,019600
229	9,000000	9,000000	9,000000	9	0	0,019467
230	9,000000	9,000000	9,000000	9	0	0,019333
231	9,000000	9,000000	9,000000	9	0	0,019200
232	9,000000	9,000000	9,000000	9	0	0,019067
233	9,000000	9,000000	9,000000	9	0	0,018933
234	9,000000	9,000000	9,000000	9	0	0,018800
235	9,000000	9,000000	9,000000	9	0	0,018667
236	9,000000	9,000000	9,000000	9	0	0,018533
237	9,000000	9,000000	9,000000	9	0	0,018400
238	9,000000	9,000000	9,000000	9	0	0,018267
239	9,000000	9,000000	9,000000	9	0	0,018133
240	9,000000	9,000000	9,000000	9	0	0,018000
241	9,000000	9,000000	9,000000	9	0	0,017867
242	9,000000	9,000000	9,000000	9	0	0,017733
243	9,000000	9,000000	9,000000	9	0	0,017600
244	9,000000	9,000000	9,000000	9	0	0,017467
245	9,000000	9,000000	9,000000	9	0	0,017333
246	9,000000	9,000000	9,000000	9	0	0,017200
247	9,000000	9,000000	9,000000	9	0	0,017067
248	9,000000	9,000000	9,000000	9	0	0,016933
249	9,000000	9,000000	9,000000	9	0	0,016800
250	9,000000	9,000000	9,000000	9	0	0,016667
251	9,000000	9,000000	9,000000	9	0	0,016533
252	9,000000	9,000000	9,000000	9	0	0,016400
253	9,000000	9,000000	9,000000	9	0	0,016267
254	9,000000	9,000000	9,000000	9	0	0,016133
255	9,000000	9,000000	9,000000	9	0	0,016000
256	9,000000	9,000000	9,000000	9	0	0,015867
257	9,000000	9,000000	9,000000	9	0	0,015733
258	9,000000	9,000000	9,000000	9	0	0,015600
259	9,000000	9,000000	9,000000	9	0	0,015467
260	9,000000	9,000000	9,000000	9	0	0,015333
261	9,000000	9,000000	9,000000	9	0	0,015200
262	9,000000	9,000000	9,000000	9	0	0,015067
263	9,000000	9,000000	9,000000	9	0	0,014933
264	9,000000	9,000000	9,000000	9	0	0,014800
265	9,000000	9,000000	9,000000	9	0	0,014667
266	9,000000	9,000000	9,000000	9	0	0,014533
267	9,000000	9,000000	9,000000	9	0	0,014400
268	9,000000	9,000000	9,000000	9	0	0,014267
269	9,000000	9,000000	9,000000	9	0	0,014133
270	9,000000	9,000000	9,000000	9	0	0,014000
271	9,000000	9,000000	9,000000	9	0	0,013867
272	9,000000	9,000000	9,000000	9	0	0,013733
273	9,000000	9,000000	9,000000	9	0	0,013600
274	9,000000	9,000000	9,000000	9	0	0,013467
275	9,000000	9,000000	9,000000	9	0	0,013333
276	9,000000	9,000000	9,000000	9	0	0,013200
277	9,000000	9,000000	9,000000	9	0	0,013067
278	9,000000	9,000000	9,000000	9	0	0,012933
279	9,000000	9,000000	9,000000	9	0	0,012800
280	9,000000	9,000000	9,000000	9	0	0,012667
281	9,000000	9,000000	9,000000	9	0	0,012533
282	9,000000	9,000000	9,000000	9	0	0,012400
283	9,000000	9,000000	9,000000	9	0	0,012267
284	9,000000	9,000000	9,000000	9	0	0,012133
285	9,000000	9,000000	9,000000	9	0	0,012000
286	9,000000	9,000000	9,000000	9	0	0,011867
287	9,000000	9,000000	9,000000	9	0	0,011733
288	9,000000	9,000000	9,000000	9	0	0,011600
289	9,000000	9,000000	9,000000	9	0	0,011467
290	9,000000	9,000000	9,000000	9	0	0,011333
291	9,000000	9,000000	9,000000	9	0	0,011200
292	9,000000	9,000000	9,000000	9	0	0,011067
293	9,000000	9,000000	9,000000	9	0	0,010933
294	9,000000	9,000000	9,000000	9	0	0,010800
295	9,000000	9,000000	9,000000	9	0	0,010667
296	9,000000	9,000000	9,000000	9	0	0,010533
297	9,000000	9,000000	9,000000	9	0	0,010400
298	9,000000	9,000000	9,000000	9	0	0,010267
299	9,000000	9,000000	9,000000	9	0	0,010133
